,Marital status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Mother's qualification,Father's qualification,Mother's occupation,Father's occupation,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (approved),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Unemployment rate,Inflation rate,GDP,label
1340,1,15,1,10,1,1,1,22,27,7,10,0,0,0,1,0,1,21,0,3,6,6,6,12.33333333,0,2,6,8,6,11.33333333,0,13.9,-0.3,0.79,Graduate
623,1,8,1,12,1,1,1,23,27,8,6,1,0,0,1,0,1,18,0,0,8,8,8,13.73125,0,0,8,8,8,13.73125,0,9.4,-0.8,-3.12,Graduate
1945,1,1,4,12,1,1,1,22,27,10,10,1,0,0,1,0,0,30,0,0,7,7,7,14.69285714,0,0,8,8,8,14.9625,0,12.4,0.5,1.79,Graduate
1881,1,12,1,4,1,1,1,22,27,10,5,0,0,0,1,1,0,35,0,0,6,16,4,12,0,0,6,11,3,10.33333333,0,13.9,-0.3,0.79,Dropout
999,1,1,3,5,1,1,1,19,24,1,1,1,0,0,1,0,0,18,0,0,6,6,6,12.5,0,0,6,6,6,13,0,7.6,2.6,0.32,Dropout
2326,1,16,1,7,1,1,1,2,27,3,10,1,0,0,1,1,0,19,0,0,5,10,0,0,0,0,5,7,1,10,0,7.6,2.6,0.32,Enrolled
847,1,8,1,9,1,1,1,13,14,10,10,0,0,0,1,0,0,19,0,0,5,11,3,10.66666667,0,0,5,9,4,10.25,0,11.1,0.6,2.02,Graduate
2694,1,1,2,15,1,1,1,1,1,5,4,0,0,0,1,1,1,18,0,0,6,6,6,12.66666667,0,0,6,6,6,11.5,0,16.2,0.3,-0.92,Graduate
2148,1,5,1,6,1,1,1,13,14,5,6,1,0,0,1,0,0,21,0,0,5,6,5,14.2,0,0,5,5,5,14.8,0,10.8,1.4,1.74,Graduate
238,1,1,1,8,1,1,1,13,1,10,10,1,0,0,0,0,0,25,0,0,5,14,4,13.5,2,0,5,10,4,14.25,0,9.4,-0.8,-3.12,Dropout
1687,1,4,1,13,1,3,1,3,3,3,3,0,0,1,0,1,0,38,0,0,7,8,3,12.66666667,0,0,5,5,0,0,0,13.9,-0.3,0.79,Dropout
3652,1,8,1,13,1,1,1,23,27,10,10,1,0,0,1,0,1,18,0,0,7,7,7,13.3,0,0,8,8,8,15.125,0,15.5,2.8,-4.06,Graduate
1596,1,1,2,12,1,1,1,22,27,10,10,1,0,0,1,1,0,22,0,0,7,9,6,12.83333333,0,0,8,12,6,12.5,0,16.2,0.3,-0.92,Enrolled
3636,1,1,1,15,1,1,1,3,14,3,4,1,0,0,1,0,0,19,0,0,6,6,6,13,0,0,6,7,6,11.66666667,0,8.9,1.4,3.51,Graduate
162,1,1,2,12,1,1,1,13,14,10,10,1,0,0,1,0,0,18,0,0,7,8,7,14.91875,0,0,8,8,8,15.355,0,15.5,2.8,-4.06,Graduate
3315,2,1,1,17,0,1,1,22,14,10,10,1,0,0,1,1,0,32,0,0,5,5,5,14.8,0,0,5,5,5,14.2,0,7.6,2.6,0.32,Graduate
2685,1,1,2,7,1,1,1,1,28,20,43,1,0,0,1,1,0,20,0,0,5,7,5,10.8,0,0,5,9,3,12,0,8.9,1.4,3.51,Enrolled
2635,1,12,2,13,1,1,1,3,1,3,5,0,0,0,1,1,0,26,0,0,7,7,2,11.75,0,0,5,10,0,0,0,12.4,0.5,1.79,Dropout
2567,1,12,1,3,0,1,1,13,1,10,9,0,0,0,1,0,0,26,0,0,6,14,3,10.66666667,1,0,6,9,5,11.2,0,15.5,2.8,-4.06,Enrolled
3554,1,8,1,14,1,1,1,22,28,4,4,0,0,1,1,1,0,19,0,0,6,7,6,13.16666667,0,0,6,9,5,13.2,0,8.9,1.4,3.51,Enrolled
4193,1,8,2,11,1,1,1,1,4,5,5,0,0,0,1,0,1,18,0,0,6,7,6,11.28571429,0,0,6,9,4,13.5,0,16.2,0.3,-0.92,Graduate
3412,1,8,1,9,1,1,1,23,28,8,6,0,0,0,1,0,0,18,0,0,5,9,1,11,1,0,5,10,0,0,0,9.4,-0.8,-3.12,Enrolled
931,1,1,1,16,1,1,1,13,28,10,10,0,0,0,1,0,1,19,0,0,7,10,6,13,0,0,7,7,7,13.28571429,0,12.4,0.5,1.79,Graduate
2617,1,8,1,11,1,1,1,1,14,6,5,0,0,0,1,0,1,19,0,0,6,7,5,11,0,0,6,7,5,12.8,0,12.4,0.5,1.79,Graduate
897,1,14,1,5,1,14,1,13,27,6,10,1,0,0,1,0,1,21,0,4,12,12,12,13.33333333,0,5,12,12,11,12.54545455,0,15.5,2.8,-4.06,Graduate
4017,4,12,1,3,0,1,1,22,27,10,8,0,0,0,1,0,1,43,0,0,6,6,0,0,0,0,5,5,0,0,0,8.9,1.4,3.51,Dropout
3092,1,1,1,3,0,1,1,23,14,7,11,0,0,0,1,0,1,23,0,0,6,6,6,14.16666667,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
1668,1,15,1,5,1,14,1,1,28,5,7,0,0,1,0,0,0,22,0,2,7,9,5,11.6,0,5,9,9,5,10,0,12.4,0.5,1.79,Dropout
3512,1,1,1,2,1,1,1,13,14,2,2,1,0,0,1,1,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Dropout
2378,1,14,1,17,0,1,1,3,4,3,3,0,0,0,0,1,0,26,0,8,12,12,8,11.25,0,3,8,8,3,11.33333333,0,7.6,2.6,0.32,Dropout
1377,1,1,1,2,1,1,1,22,14,8,8,1,0,0,1,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,Graduate
3725,1,15,1,4,1,14,1,1,1,4,11,0,0,0,1,1,0,22,0,4,10,21,5,11.4,1,2,7,13,6,11.66666667,0,15.5,2.8,-4.06,Dropout
3449,1,1,2,12,1,1,1,3,3,3,3,1,0,0,1,0,1,18,0,0,7,7,7,14.48571429,0,0,8,9,8,14.58888889,0,16.2,0.3,-0.92,Graduate
943,1,4,1,6,1,3,1,1,14,10,11,0,0,0,1,0,0,34,0,0,6,0,0,0,0,0,6,0,0,0,0,15.5,2.8,-4.06,Dropout
982,1,1,1,15,1,1,1,1,28,5,6,0,0,0,1,1,0,18,0,0,6,6,6,12,0,0,6,6,6,12.5,0,12.7,3.7,-1.7,Graduate
4359,1,1,4,10,1,1,1,1,14,5,6,1,0,0,1,0,0,19,0,0,6,6,6,13,0,0,6,8,5,13.4,0,8.9,1.4,3.51,Graduate
94,2,12,1,3,0,1,1,22,14,10,10,0,0,0,1,0,0,44,0,2,8,11,8,11.875,0,0,6,7,6,12.33333333,0,12.7,3.7,-1.7,Graduate
3551,1,12,1,10,1,12,1,22,27,10,10,0,0,1,0,1,0,33,0,0,6,8,0,0,0,0,5,6,0,0,0,16.2,0.3,-0.92,Dropout
4099,1,9,1,10,1,1,1,23,24,5,1,0,0,0,1,0,0,18,0,0,1,1,0,0,1,0,6,0,0,0,0,10.8,1.4,1.74,Dropout
2258,1,4,1,5,1,3,1,4,4,3,3,0,0,0,1,1,0,28,0,0,6,9,2,12,0,0,6,10,3,12.66666667,0,12.7,3.7,-1.7,Dropout
2835,2,14,1,9,1,1,1,13,27,8,11,0,0,0,1,0,0,34,0,12,15,17,12,11.91666667,0,11,13,13,11,13.18181818,0,7.6,2.6,0.32,Graduate
898,1,1,1,11,1,1,1,23,14,10,6,1,0,0,1,0,0,21,0,0,6,10,6,10.83333333,0,0,6,10,4,11,0,7.6,2.6,0.32,Enrolled
3809,2,12,1,3,0,1,1,19,24,1,1,0,0,0,1,0,0,54,0,0,6,8,4,12.75,0,0,6,12,5,12.6,0,7.6,2.6,0.32,Dropout
4332,1,1,1,10,1,1,1,22,1,10,10,1,0,0,1,0,0,18,0,0,6,8,5,13.2,0,0,6,6,6,11.33333333,0,9.4,-0.8,-3.12,Graduate
4315,1,1,1,11,1,1,1,1,3,5,2,1,0,0,1,1,0,18,0,0,6,15,3,11.66666667,0,0,6,14,2,12.5,0,10.8,1.4,1.74,Dropout
715,1,14,1,3,0,1,1,13,27,5,11,0,0,0,1,1,0,44,0,9,13,18,13,11.84615385,0,9,11,11,11,12,0,12.7,3.7,-1.7,Graduate
4299,1,8,1,9,1,1,1,23,28,10,9,0,0,0,1,1,0,18,0,0,5,13,1,10,0,0,5,5,1,10,0,12.7,3.7,-1.7,Dropout
2005,1,1,1,6,1,1,1,1,27,5,11,0,0,0,1,0,0,19,0,0,5,7,5,14.4,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
2095,1,14,1,8,1,1,1,3,3,3,3,0,0,0,1,0,0,20,0,10,17,29,14,12.5625,4,7,12,24,12,12.85714286,1,15.5,2.8,-4.06,Graduate
29,1,8,2,12,1,1,1,3,3,2,11,1,0,0,1,1,0,19,0,0,7,9,6,12.93333333,0,0,7,7,6,13.71666667,0,16.2,0.3,-0.92,Enrolled
390,1,15,1,6,1,14,1,4,28,5,6,1,0,0,1,0,0,21,0,0,6,11,4,12.75,0,0,6,19,1,11,0,12.4,0.5,1.79,Enrolled
2853,1,9,3,5,1,1,1,1,1,6,4,1,0,0,1,0,0,18,0,1,6,8,6,13.71428571,1,0,6,8,6,14.375,0,13.9,-0.3,0.79,Graduate
3951,1,4,1,9,1,3,1,6,19,2,8,0,0,0,1,0,0,26,0,0,5,5,0,0,0,0,5,0,0,0,0,9.4,-0.8,-3.12,Dropout
374,2,12,1,6,1,12,1,23,28,5,8,0,0,0,1,0,0,31,0,0,6,0,0,0,0,0,6,0,0,0,0,12.7,3.7,-1.7,Dropout
1403,1,8,5,12,1,1,1,23,1,10,8,1,0,0,1,0,1,18,0,0,7,8,7,13.15,0,0,8,9,8,15.06875,0,13.9,-0.3,0.79,Graduate
2034,2,12,1,15,1,12,1,22,27,7,7,0,0,1,1,1,1,49,0,0,6,8,6,12.28571429,0,0,6,7,6,14.16666667,0,10.8,1.4,1.74,Graduate
748,1,12,1,14,1,6,1,1,1,12,4,1,0,0,1,1,0,30,0,0,5,5,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,Dropout
1235,1,12,1,17,0,1,1,13,28,8,5,0,0,0,1,0,0,26,0,0,5,9,2,12,0,0,5,9,3,11,0,10.8,1.4,1.74,Dropout
2097,1,1,2,10,1,1,1,23,1,8,8,1,0,0,1,0,0,21,0,0,6,8,5,12.4,0,0,6,6,6,12,0,12.4,0.5,1.79,Graduate
4331,1,8,1,2,1,1,1,22,14,6,10,1,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Dropout
3162,1,1,4,12,1,1,1,13,28,10,10,1,0,0,1,0,0,19,0,0,8,8,7,14.32857143,0,0,8,8,7,14.32857143,0,10.8,1.4,1.74,Graduate
2237,1,12,1,11,1,12,1,23,27,5,6,0,0,1,0,1,0,24,0,0,6,7,0,0,0,0,6,7,0,0,0,16.2,0.3,-0.92,Dropout
2624,1,1,4,15,1,1,9,1,27,4,10,1,0,0,1,0,0,20,1,0,6,6,6,12.33333333,0,0,6,6,6,12,0,12.7,3.7,-1.7,Graduate
2776,1,8,2,2,1,1,1,13,27,10,10,1,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7,3.7,-1.7,Enrolled
2369,1,12,1,8,1,1,1,1,14,5,6,1,0,0,1,1,0,29,0,0,5,11,1,18,2,0,5,10,3,13.33333333,2,10.8,1.4,1.74,Dropout
299,1,1,1,12,1,1,1,13,28,6,8,0,0,0,1,0,0,18,0,0,8,10,8,12.86,2,0,8,10,8,12.86,2,9.4,-0.8,-3.12,Graduate
3289,1,12,1,4,1,12,1,22,27,10,8,0,0,0,1,1,0,35,0,17,18,20,18,11.55555556,0,11,13,13,13,11.61538462,0,15.5,2.8,-4.06,Graduate
4244,1,1,1,2,1,1,1,3,3,3,6,1,0,0,1,0,0,19,0,6,12,13,12,12.33333333,0,4,11,12,10,12.72727273,0,8.9,1.4,3.51,Dropout
2564,1,1,1,11,1,1,14,22,27,6,6,1,0,0,1,0,1,20,1,0,6,6,6,14,0,0,6,6,6,13.33333333,0,10.8,1.4,1.74,Graduate
1197,1,13,1,16,1,1,1,1,27,6,6,1,0,0,1,0,0,21,0,0,6,8,4,12.25,0,0,6,13,3,10.33333333,0,12.7,3.7,-1.7,Dropout
3898,2,12,1,11,1,1,1,22,27,5,8,1,0,0,1,0,0,34,0,0,6,7,5,12.4,0,0,6,8,5,12.8,0,9.4,-0.8,-3.12,Graduate
3353,1,1,1,15,1,1,1,23,1,6,8,1,0,0,1,1,1,18,0,0,6,7,6,12.71428571,0,0,6,8,5,11.83333333,0,13.9,-0.3,0.79,Graduate
521,1,8,1,8,1,1,1,3,14,3,10,0,0,0,1,0,0,18,0,0,5,14,2,12,2,0,5,6,5,12.6,0,9.4,-0.8,-3.12,Graduate
57,1,12,1,8,1,15,1,3,3,3,3,1,0,0,1,0,0,27,0,0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,Dropout
3893,4,12,1,6,1,1,1,22,27,12,12,0,0,0,0,0,0,35,0,0,5,14,1,12,2,0,5,11,2,10.5,1,9.4,-0.8,-3.12,Dropout
3376,1,8,1,6,1,1,1,13,27,10,10,1,0,0,1,0,1,21,0,0,6,6,6,14.5,0,0,6,8,6,14.66666667,0,8.9,1.4,3.51,Graduate
3924,1,1,1,2,1,1,1,13,14,6,5,1,0,1,1,1,0,21,0,6,12,12,11,11.54545455,0,4,11,18,9,11.7,1,8.9,1.4,3.51,Enrolled
2876,1,12,1,13,1,1,3,3,3,5,5,0,0,1,0,0,0,54,1,0,7,7,0,0,0,0,5,10,0,0,0,12.4,0.5,1.79,Dropout
561,1,1,1,8,1,1,1,1,1,4,4,1,0,0,1,1,0,20,0,0,5,14,2,11,3,0,5,9,3,12.66666667,0,9.4,-0.8,-3.12,Enrolled
2489,1,1,2,11,1,1,1,1,28,3,9,1,0,0,1,1,1,20,0,0,6,7,6,14.71428571,0,0,6,6,6,12.5,0,8.9,1.4,3.51,Graduate
3179,1,14,1,12,1,1,1,13,28,10,8,1,0,0,1,1,1,19,0,0,7,8,5,11.2,0,0,7,8,5,11.2,0,7.6,2.6,0.32,Enrolled
2585,1,8,2,3,0,1,1,22,24,1,1,1,0,0,1,0,0,19,0,0,6,8,5,12.2,0,0,6,7,6,12,0,7.6,2.6,0.32,Graduate
4242,1,8,1,10,1,1,1,13,28,4,4,1,0,0,0,0,0,19,0,0,6,13,4,11,0,0,6,13,2,11.5,0,12.7,3.7,-1.7,Dropout
1521,2,12,1,17,0,1,1,22,27,10,10,0,0,0,1,1,0,29,0,0,5,5,5,15.2,0,0,5,5,5,15.2,0,11.1,0.6,2.02,Graduate
957,1,1,3,15,1,1,1,23,1,10,5,1,0,0,1,1,0,19,0,0,6,6,6,12.5,0,0,6,7,5,13,0,12.4,0.5,1.79,Graduate
358,1,12,1,4,1,1,1,22,27,4,9,0,0,1,1,0,1,30,0,0,6,6,0,0,0,0,6,6,0,0,0,11.1,0.6,2.02,Enrolled
3106,1,1,6,12,1,1,1,1,28,5,6,1,0,0,1,0,1,18,0,0,8,8,8,12.32,0,0,8,8,8,12.32,0,9.4,-0.8,-3.12,Graduate
3356,1,15,1,7,1,14,1,3,14,4,5,0,0,0,1,1,0,20,0,0,5,12,1,13,0,0,5,8,3,12.6,0,12.4,0.5,1.79,Enrolled
2481,1,1,1,5,1,1,1,13,14,6,6,0,0,0,1,1,1,22,0,1,6,6,6,12.66666667,0,1,6,6,5,12.4,0,12.4,0.5,1.79,Graduate
800,1,17,1,5,1,16,1,25,14,4,6,1,0,0,0,0,1,22,0,0,6,8,6,11,0,0,6,10,4,12,0,8.9,1.4,3.51,Enrolled
2902,2,12,1,13,1,1,3,23,28,10,10,0,0,0,1,0,0,32,1,0,7,10,7,11,0,0,8,8,8,13.125,0,12.7,3.7,-1.7,Graduate
1455,1,1,2,9,1,1,1,1,27,5,10,1,0,0,1,1,1,19,0,0,5,5,0,0,0,0,5,5,0,0,0,11.1,0.6,2.02,Dropout
1838,1,8,3,12,1,1,1,3,14,3,6,1,0,0,1,0,0,19,0,0,8,8,8,13.4275,0,0,8,8,8,13.4275,0,9.4,-0.8,-3.12,Graduate
407,1,12,1,17,0,15,1,1,14,10,10,0,0,0,1,0,0,27,0,0,5,5,5,15.8,0,0,5,5,5,14.8,0,8.9,1.4,3.51,Graduate
3715,1,1,2,9,1,1,1,22,1,6,4,1,0,0,1,1,0,20,0,0,5,9,2,14.33333333,0,0,5,10,2,12.5,0,7.6,2.6,0.32,Enrolled
276,1,13,1,16,1,1,1,22,28,4,4,0,0,0,1,0,0,20,0,0,6,8,5,11,0,0,6,10,3,10.66666667,0,12.7,3.7,-1.7,Dropout
1804,1,16,1,9,1,12,1,13,14,10,6,0,0,1,0,1,0,38,0,0,5,5,0,0,0,0,5,5,0,0,0,8.9,1.4,3.51,Dropout
2365,1,9,1,15,1,1,1,1,1,5,8,1,0,0,1,1,0,19,0,0,6,6,6,13.83333333,0,0,6,6,6,14.5,0,8.9,1.4,3.51,Graduate
1461,1,15,1,4,1,14,1,23,28,10,9,1,0,0,1,1,0,20,0,0,6,8,5,12.85714286,0,0,6,11,6,12.3,0,16.2,0.3,-0.92,Graduate
3437,1,14,1,17,0,1,1,22,27,10,9,1,0,0,1,0,0,29,0,8,13,16,8,10.5,0,8,12,19,9,10.33333333,0,9.4,-0.8,-3.12,Enrolled
2788,1,12,1,14,1,1,1,13,14,8,8,0,0,1,0,1,0,24,0,0,6,12,0,0,0,0,6,9,0,0,0,10.8,1.4,1.74,Dropout
3674,1,1,1,5,1,1,1,1,1,4,6,1,0,0,1,0,1,20,0,0,6,6,6,12.66666667,0,0,6,8,6,13,0,10.8,1.4,1.74,Graduate
82,1,12,1,4,1,4,1,3,3,5,3,0,0,1,1,1,0,24,0,6,12,17,6,12.16666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,Dropout
2915,6,12,1,3,0,1,1,22,27,10,10,0,0,0,1,0,1,48,0,0,6,7,6,10.66666667,0,0,6,9,5,11.8,0,10.8,1.4,1.74,Enrolled
4274,1,1,1,11,1,1,1,22,14,10,10,1,0,0,1,1,0,25,0,0,6,8,6,13.16666667,0,0,6,8,5,12.6,0,7.6,2.6,0.32,Enrolled
1437,2,12,1,3,0,1,1,22,27,10,10,0,0,0,1,0,0,35,0,0,6,7,6,12.5,0,0,6,6,6,12.16666667,0,15.5,2.8,-4.06,Graduate
2987,2,12,1,3,0,12,1,19,24,1,1,0,0,0,1,0,0,46,0,0,6,9,6,13.33333333,0,0,6,6,6,11.83333333,0,7.6,2.6,0.32,Graduate
1608,1,8,1,15,1,1,1,23,14,10,11,1,0,0,1,1,0,18,0,0,6,6,6,12.66666667,0,0,6,7,5,13.6,0,12.4,0.5,1.79,Enrolled
2132,1,1,2,9,1,1,1,13,27,5,6,1,0,0,1,0,0,20,0,0,5,8,3,11.33333333,0,0,5,8,5,12.2,0,7.6,2.6,0.32,Graduate
1248,1,17,1,14,1,16,1,13,27,4,7,1,0,1,1,0,0,21,0,0,6,12,1,12,0,0,6,11,1,11,0,8.9,1.4,3.51,Enrolled
3265,1,8,1,10,1,1,1,1,28,22,40,0,0,0,1,0,1,19,0,0,6,8,6,11.5,0,0,6,7,6,12.33333333,0,12.4,0.5,1.79,Graduate
334,1,1,1,10,1,1,1,19,27,5,10,1,0,0,1,0,1,18,0,0,6,6,6,12.16666667,0,0,6,9,6,13.66666667,0,9.4,-0.8,-3.12,Graduate
14,1,1,1,6,1,1,1,23,27,6,6,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12,0,10.8,1.4,1.74,Graduate
841,1,8,1,9,1,1,1,3,1,4,5,0,0,0,0,1,0,22,0,0,5,10,4,11.5,0,0,5,11,4,14,0,8.9,1.4,3.51,Enrolled
63,1,8,1,5,1,1,1,1,1,4,5,1,0,0,1,1,0,19,0,0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,Enrolled
2128,1,1,1,2,1,1,1,13,14,9,9,1,0,0,1,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1,0.6,2.02,Dropout
2249,1,1,1,8,1,1,1,1,1,5,11,1,0,0,1,1,0,18,0,0,5,5,5,13.6,0,0,5,6,4,13.25,1,10.8,1.4,1.74,Graduate
3159,1,14,1,5,1,1,1,13,14,10,10,1,0,0,1,1,1,20,0,0,6,8,3,11,0,0,6,8,2,11.33333333,0,10.8,1.4,1.74,Enrolled
3485,2,12,1,14,1,1,1,13,28,10,10,0,0,0,1,1,0,36,0,0,6,13,3,11.33333333,0,0,6,12,5,11.4,0,13.9,-0.3,0.79,Dropout
2604,1,8,1,10,1,1,1,22,27,8,6,1,0,0,1,0,0,19,0,0,6,10,2,10.5,0,0,6,11,1,13,0,9.4,-0.8,-3.12,Dropout
4069,1,8,2,10,1,1,1,2,3,4,4,1,0,0,1,0,0,19,0,0,6,7,6,11.16666667,0,0,6,9,6,11.66666667,0,9.4,-0.8,-3.12,Graduate
399,1,8,1,9,1,1,1,23,27,7,5,1,0,0,1,0,0,19,0,0,5,10,3,10.66666667,0,0,5,9,0,0,3,16.2,0.3,-0.92,Dropout
4414,1,1,1,8,1,1,1,3,28,4,6,1,0,0,1,0,0,18,0,0,5,6,5,11.8,1,0,5,8,5,11.6,0,9.4,-0.8,-3.12,Graduate
